Player,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Par Lindholm,BOS,C,20,1,0,1,2,4,16,0,0,0,0,0,12,8
Ryan Lindgren,NYR,D,23,1,6,7,6,14,20,0,0,0,0,0,38,26
Jacob Larsson,ANH,D,25,1,2,3,-3,8,27,0,0,0,0,0,14,24
Matt Luff,LA,RW,10,1,3,4,3,2,13,0,0,0,0,0,9,3
Marcus Pettersson,PIT,D,33,1,9,10,1,10,35,0,0,1,0,0,55,31
Josh Anderson,CLS,RW,26,1,3,4,-8,17,63,0,0,0,0,0,68,13
Valentin Zykov,VGK,RW,11,1,2,3,0,4,17,0,1,0,0,0,17,3
Brian Dumoulin,PIT,D,23,1,6,7,17,8,33,0,0,1,1,0,39,27
Deryk Engelland,VGK,D,31,1,4,5,5,20,40,1,0,0,0,1,80,55
Riley Sheahan,EDM,C,31,1,1,2,-11,0,30,0,0,0,0,0,14,10
Johnny Boychuk,NYI,D,30,1,6,7,4,10,46,0,1,0,0,0,68,58
Ian Cole,COL,D,28,1,11,12,17,24,30,1,0,0,0,0,38,64
Cody Ceci,TOR,D,34,1,6,7,7,12,33,1,0,0,0,0,54,59
Gemel Smith,TB,C,3,1,0,1,0,4,1,0,0,0,0,0,1,2
Micheal Ferland,VAN,LW,14,1,4,5,-3,7,15,0,0,0,0,0,40,2
John Moore,BOS,D,5,1,1,2,1,9,9,0,0,0,0,0,8,6
Micheal Haley,NYR,LW,15,1,0,1,-4,40,9,0,0,0,0,0,24,5
Chris Tanev,VAN,D,34,1,8,9,3,12,20,0,0,0,0,1,19,78
Vladimir Sobotka,BUF,C,16,1,2,3,2,4,23,0,0,0,0,0,26,7
Niklas Hjalmarsson,ARI,D,4,1,0,1,1,0,4,0,0,0,0,0,2,4
Braydon Coburn,TB,D,17,1,0,1,2,4,21,0,0,0,0,0,24,10
Brandon Manning,EDM,D,9,1,0,1,-1,17,8,0,0,0,0,0,10,6
Curtis Lazar,BUF,C,6,1,0,1,-2,7,2,0,0,0,0,0,13,5
Jayce Hawryluk,FLA,C,8,1,2,3,-1,4,5,0,0,0,0,0,16,5
Logan Brown,OTT,C,19,1,7,8,-1,4,20,1,1,2,0,0,9,10
Vitali Abramov,OTT,RW,2,1,0,1,0,2,3,0,0,0,0,0,0,0
Rasmus Dahlin,BUF,D,26,1,17,18,2,20,39,0,0,8,0,0,33,15
Nick Caamano,DAL,RW,12,1,1,2,2,4,13,0,0,0,0,0,17,3
Cale Fleury,MON,D,27,1,0,1,-6,2,26,0,0,0,0,0,71,33
Nicolas Roy,VGK,C,7,1,2,3,1,6,6,1,0,0,0,0,11,2
Nathan Walker,STL,C,5,1,1,2,-2,4,6,0,0,0,0,0,10,1
Logan Shaw,WPG,RW,19,1,0,1,-3,0,9,0,0,0,0,0,12,9
Adam Pelech,NYI,D,31,1,6,7,5,18,40,0,0,0,0,1,60,71
Mirco Mueller,NJ,D,19,1,0,1,-9,11,9,0,0,0,0,0,16,25
Scott Sabourin,OTT,RW,11,1,1,2,-3,13,9,0,0,0,0,0,26,5
Jamie Oleksiak,DAL,D,35,1,5,6,0,23,37,0,0,0,0,0,58,31
Miikka Salomaki,NSH,RW,5,1,0,1,2,4,2,1,0,0,0,0,9,3
Brenden Dillon,SJ,D,35,1,7,8,-8,50,36,0,0,0,0,1,110,34
T.J. Brodie,CGY,D,30,1,9,10,5,16,30,0,0,1,0,0,10,42
Yakov Trenin,NSH,C,4,1,0,1,1,2,7,0,0,0,0,0,6,2
Jonas Siegenthaler,WAS,D,35,1,4,5,6,20,24,1,0,0,0,0,31,55
Carsen Twarynski,PHI,LW,15,1,0,1,-2,4,14,0,0,0,0,0,40,8
Patrik Nemeth,DET,D,29,1,4,5,-6,12,46,1,0,0,0,0,28,36
Nick Bjugstad,PIT,C,10,1,0,1,2,8,16,0,0,0,0,0,19,6
Loui Eriksson,VAN,RW,17,1,0,1,-3,8,15,0,0,0,0,0,1,7
Ron Hainsey,OTT,D,34,1,6,7,2,6,26,1,0,0,0,2,29,49
Sam Gagner,EDM,C,18,1,7,8,-2,2,32,0,0,1,0,0,11,5
Paul Byron,MON,C,19,1,3,4,3,4,11,0,0,0,0,0,28,11
Josh Archibald,EDM,RW,27,1,0,1,-12,6,29,0,0,0,0,0,64,15
Colin Miller,BUF,D,26,1,5,6,-6,8,40,1,0,3,0,0,41,22
Gabriel Bourque,WPG,LW,19,1,3,4,1,0,18,0,0,0,0,0,53,16
Devin Shore,ANH,C,18,1,3,4,-2,4,24,0,0,1,0,0,19,7
Nikita Zadorov,COL,D,29,1,3,4,3,43,32,0,0,0,0,0,92,38
Olli Maatta,CHI,D,30,1,7,8,-3,4,39,0,0,0,0,1,62,54
Joseph Blandisi,PIT,C,13,1,2,3,-1,4,7,1,0,0,0,0,19,7
Samuel Girard,COL,D,33,1,11,12,2,9,41,0,1,4,0,0,27,47
Jordan Kyrou,STL,RW,4,1,0,1,-1,0,7,0,0,0,0,0,4,2
Josh Mahura,ANH,D,11,1,3,4,-3,2,11,0,0,0,0,0,2,11
Radim Simek,SJ,D,16,1,3,4,-12,8,15,0,0,0,0,0,36,22
Ville Heinola,WPG,D,8,1,4,5,3,4,10,0,0,1,0,0,3,5
Hampus Lindholm,ANH,D,25,1,13,14,-3,22,44,0,1,3,0,2,10,32
Kyle Capobianco,ARI,D,7,1,0,1,-1,2,6,0,0,0,0,0,8,9
Joakim Ryan,LA,D,22,1,2,3,1,6,25,0,0,0,0,0,12,31
Ryan McDonagh,TB,D,31,1,8,9,2,11,32,0,0,0,0,1,22,66
Troy Brouwer,STL,RW,9,1,0,1,1,5,8,0,0,0,0,0,18,5
Zack Smith,CHI,C,27,1,4,5,-2,15,25,0,0,0,0,1,57,10
Duncan Keith,CHI,D,25,1,5,6,1,12,37,0,0,2,0,0,11,50
Justin Holl,TOR,D,32,1,9,10,9,18,37,0,0,0,0,0,45,27
Carl Gunnarsson,STL,D,17,1,3,4,1,10,9,0,0,0,0,1,12,21
Zach MacEwen,VAN,C,8,1,1,2,3,2,3,0,0,0,0,0,21,2
Christoffer Ehn,DET,C,24,1,0,1,-10,2,13,0,0,0,0,0,28,10
Adam Johnson,PIT,C,7,1,1,2,-1,2,5,0,0,0,0,0,4,3
David Gustafsson,WPG,C,22,1,0,1,-2,0,4,1,0,0,0,0,5,6
Nicolas Deslauriers,ANH,LW,21,1,3,4,-2,46,18,0,0,0,0,0,53,8
Greg McKegg,NYR,C,20,1,2,3,0,7,16,0,0,0,1,0,30,5
Jay Beagle,VAN,C,25,1,2,3,-5,18,27,1,0,0,1,1,29,14
Trevor Lewis,LA,C,27,1,4,5,-1,10,47,0,0,0,0,0,40,13
Ben Hutton,LA,D,35,1,4,5,-3,6,59,0,0,0,0,0,25,47
Carter Verhaeghe,TB,C,21,1,3,4,-4,4,25,0,0,0,0,0,7,0
Alan Quine,CGY,C,9,1,0,1,-1,4,12,0,0,0,0,0,6,2
Stefan Noesen,PIT,C,6,1,0,1,0,0,8,0,0,0,0,0,10,1
Pierre Engvall,TOR,LW,12,1,4,5,3,0,13,1,0,0,1,1,7,3
Oscar Fantenberg,VAN,D,7,1,0,1,4,0,10,0,0,0,0,0,12,10
Brendan Guhle,ANH,D,18,1,3,4,-3,8,22,0,0,0,0,0,8,20
Rasmus Asplund,BUF,C,16,1,2,3,2,4,25,0,0,0,0,1,12,3
Matthew Highmore,CHI,C,5,0,0,0,0,0,2,0,0,0,0,0,6,0
Mikhail Vorobyov,PHI,C,10,0,1,1,-1,0,7,0,0,0,0,0,3,2
Tyler Motte,VAN,C,7,0,1,1,-1,2,4,0,0,0,0,0,28,10
Nikita Zaitsev,OTT,D,32,0,8,8,-1,8,35,0,0,0,0,0,55,74
German Rubtsov,PHI,C,3,0,0,0,-1,0,1,0,0,0,0,0,2,4
Max Veronneau,OTT,RW,4,0,0,0,-2,0,3,0,0,0,0,0,2,2
Nicolas Hague,VGK,D,25,0,6,6,-1,20,27,0,0,3,0,0,42,17
Mario Ferraro,SJ,D,32,0,5,5,-10,18,28,0,0,0,0,1,64,23
Mason Appleton,WPG,C,9,0,0,0,-1,2,9,0,0,0,0,0,6,4
Andy Andreoff,PHI,C,6,0,1,1,0,0,8,0,0,0,0,0,9,3
Mark Jankowski,CGY,C,31,0,1,1,-10,10,15,0,0,0,0,0,10,16
Boo Nieves,NYR,C,4,0,0,0,2,4,2,0,0,0,0,0,3,2
Evan Rodrigues,BUF,C,18,0,2,2,-5,2,30,0,0,0,0,0,9,2
Alexander Volkov,TB,LW,4,0,0,0,-5,0,3,0,0,0,0,0,5,1
Mitchell Stephens,TB,C,4,0,0,0,-4,0,5,0,0,0,0,0,3,2
Joe Hicketts,DET,D,6,0,2,2,-5,2,6,0,0,0,0,0,14,13
Clark Bishop,CAR,C,5,0,1,1,-2,4,4,0,0,0,0,0,5,0
Nikolay Goldobin,VAN,RW,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Tomas Jurco,EDM,RW,12,0,2,2,1,4,7,0,0,0,0,0,4,3
Carl Hagelin,WAS,LW,24,0,6,6,3,4,34,0,0,0,0,1,10,8
Adam Larsson,EDM,D,14,0,1,1,-7,17,17,0,0,0,0,0,24,27
Brandon Pirri,VGK,C,11,0,1,1,-3,6,19,0,0,0,0,0,9,2
Martin Fehervary,WAS,D,3,0,0,0,0,2,4,0,0,0,0,0,6,0
Colin Blackwell,NSH,C,2,0,0,0,1,0,3,0,0,0,0,0,4,0
Anton Wedin,CHI,LW,4,0,0,0,1,4,2,0,0,0,0,0,5,1
Dylan Sikura,CHI,LW,2,0,0,0,-1,0,2,0,0,0,0,0,0,0
Brett Seney,NJ,LW,2,0,0,0,-1,0,1,0,0,0,0,0,2,0
Henrik Borgstrom,FLA,C,4,0,0,0,-2,2,3,0,0,0,0,0,1,0
Max Lajoie,OTT,D,4,0,0,0,0,0,2,0,0,0,0,0,1,2
Beck Malenstyn,WAS,C,3,0,0,0,-1,0,4,0,0,0,0,0,5,1
Kevin Rooney,NJ,C,19,0,1,1,0,11,18,0,0,0,0,0,21,9
Justin Braun,PHI,D,33,0,5,5,-14,10,43,0,0,0,0,0,43,46
Jon Merrill,VGK,D,33,0,3,3,3,20,27,0,0,0,0,0,33,48
Alexander Steen,STL,LW,19,0,5,5,5,6,24,0,0,0,0,0,5,22
Jason Demers,ARI,D,30,0,5,5,1,17,31,0,0,0,0,1,42,41
Mikkel Boedker,OTT,LW,6,0,1,1,1,0,5,0,0,0,0,0,1,1
Cody Goloubef,OTT,D,8,0,0,0,2,2,4,0,0,0,0,0,15,5
Jacob Middleton,SJ,D,1,0,0,0,0,0,0,0,0,0,0,0,2,1
Caleb Jones,EDM,D,13,0,1,1,-5,2,10,0,0,0,0,0,10,13
Matt Benning,EDM,D,24,0,5,5,8,10,18,0,0,0,0,0,50,20
Sami Niku,WPG,D,1,0,0,0,0,0,1,0,0,0,0,0,2,3
Kevin Stenlund,CLS,C,1,0,0,0,0,2,1,0,0,0,0,0,0,0
Alex Biega,DET,D,17,0,0,0,-3,4,15,0,0,0,0,0,35,17
Marko Dano,CLS,C,1,0,0,0,0,0,0,0,0,0,0,0,2,3
Robert Hagg,PHI,D,19,0,3,3,-4,10,15,0,0,0,0,0,57,34
Lean Bergmann,SJ,LW,8,0,1,1,-5,2,9,0,0,0,0,0,10,4
Joachim Blichfeld,SJ,LW,2,0,0,0,-1,0,1,0,0,0,0,0,3,2
Christian Jaros,OTT,D,1,0,0,0,-1,4,0,0,0,0,0,0,2,0
C.J. Suess,WPG,LW,1,0,0,0,-1,0,0,0,0,0,0,0,1,0
Lukas Radil,SJ,LW,14,0,0,0,-3,8,12,0,0,0,0,0,16,2
Oliver Wahlstrom,NYI,RW,9,0,0,0,-2,4,9,0,0,0,0,0,10,4
Rasmus Sandin,TOR,D,6,0,2,2,0,2,5,0,0,0,0,0,5,3
Juuso Riikola,PIT,D,12,0,1,1,0,2,17,0,0,0,0,0,27,8
Jonny Brodzinski,SJ,RW,3,0,1,1,0,0,5,0,0,0,0,0,3,0
Connor Bunnaman,PHI,C,4,0,0,0,0,0,4,0,0,0,0,0,5,1
Andrew Peeke,CLS,D,6,0,1,1,5,2,3,0,0,0,0,0,12,8
Libor Hajek,NYR,D,27,0,5,5,-2,12,22,0,0,0,0,0,23,42
David Kase,PHI,RW,3,0,0,0,-1,0,4,0,0,0,0,0,3,1
Evgeny Svechnikov,DET,LW,4,0,0,0,-1,2,7,0,0,0,0,0,5,1
Pontus Aberg,TOR,LW,3,0,1,1,0,0,2,0,0,0,0,0,0,1
Derrick Pouliot,STL,D,2,0,0,0,-1,2,1,0,0,0,0,0,2,1
John Hayden,NJ,C,11,0,1,1,-1,2,8,0,0,0,0,0,22,6
Trevor Carrick,SJ,D,3,0,0,0,0,5,1,0,0,0,0,0,1,0
Andrew Agozzino,PIT,LW,1,0,0,0,-1,0,0,0,0,0,0,0,1,0
Joe Thornton,SJ,C,35,0,12,12,-9,22,31,0,0,1,0,0,12,13
Frans Nielsen,DET,C,31,0,1,1,-9,4,48,0,0,0,0,1,19,17
Brian Gibbons,CAR,C,13,0,0,0,-6,2,9,0,0,0,0,0,5,9
Yannick Weber,NSH,D,19,0,1,1,2,4,17,0,0,0,0,0,16,10
Kevin Connauton,COL,D,1,0,0,0,0,0,2,0,0,0,0,0,3,1
Beck Malenstyn,FA,C,3,0,0,0,-1,0,4,0,0,0,0,0,5,1
Conor Timmins,COL,D,2,0,0,0,2,0,1,0,0,0,0,0,0,0
Riley Stillman,FLA,D,3,0,0,0,-2,5,7,0,0,0,0,0,2,4
Jonathan Davidsson,OTT,RW,6,0,1,1,0,0,3,0,0,0,0,0,5,1
Tim Gettinger,NYR,LW,2,0,1,1,1,0,3,0,0,0,0,0,5,1
Kole Sherwood,CLS,C,3,0,0,0,0,2,6,0,0,0,0,0,10,1
Nick Jensen,WAS,D,35,0,2,2,-8,0,30,0,0,1,0,0,30,36
Anthony Richard,NSH,C,1,0,0,0,-1,0,2,0,0,0,0,0,0,0
Paul LaDue,LA,D,2,0,1,1,0,0,2,0,0,0,0,0,2,3
Tobias Bjornfot,LA,D,3,0,0,0,-4,0,0,0,0,0,0,0,0,0
Otto Leskinen,MON,D,5,0,0,0,0,0,2,0,0,0,0,0,13,1
Joona Luoto,WPG,RW,14,0,0,0,-3,2,6,0,0,0,0,0,7,8
Andrej Sekera,DAL,D,31,0,3,3,6,12,35,0,0,0,0,0,20,52
Sam Carrick,ANH,C,2,0,1,1,0,0,4,0,0,0,0,0,4,2
Gabriel Dumont,MIN,C,3,0,0,0,-1,0,3,0,0,0,0,0,9,2
Leo Komarov,NYI,LW,15,0,4,4,2,2,12,0,0,0,0,1,38,6
Scott Harrington,CLS,D,9,0,2,2,-6,4,9,0,0,0,0,0,14,12
Steve Kampfer,BOS,D,4,0,0,0,2,2,4,0,0,0,0,0,6,4
Peter Cehlarik,BOS,C,3,0,1,1,-1,2,0,0,0,0,0,0,2,2
Samuel Morin,PHI,D,1,0,0,0,-1,0,0,0,0,0,0,0,2,0
Jordie Benn,VAN,D,34,0,6,6,-5,15,48,0,0,0,0,0,29,50
Andreas Englund,OTT,D,1,0,0,0,-1,0,1,0,0,0,0,0,1,0
Jordan Oesterle,ARI,D,27,0,6,6,0,8,34,0,0,1,0,0,23,47
Brendan Perlini,DET,LW,20,0,1,1,-11,6,30,0,0,0,0,0,12,5
Eetu Luostarinen,CAR,LW,8,0,1,1,-2,0,9,0,0,0,0,0,9,2
Ryan Poehling,MON,C,6,0,0,0,0,0,5,0,0,0,0,0,7,3
Drake Batherson,OTT,RW,2,0,0,0,-4,2,0,0,0,0,0,0,1,2
Joel Persson,EDM,D,13,0,2,2,-1,2,17,0,0,0,0,0,6,10
Ilya Lyubushkin,ARI,D,22,0,1,1,2,12,21,0,0,0,0,0,64,22
Sheldon Dries,COL,C,1,0,0,0,-1,0,0,0,0,0,0,0,7,2
Trent Frederic,BOS,C,2,0,0,0,-1,0,1,0,0,0,0,0,8,0
Tage Thompson,BUF,RW,1,0,0,0,0,0,0,0,0,0,0,0,2,0
Dryden Hunt,FLA,LW,20,0,4,4,0,24,32,0,0,0,0,0,35,6
Nick Seeler,MIN,D,6,0,0,0,-6,8,4,0,0,0,0,0,5,9
Tim Heed,SJ,D,21,0,1,1,-1,2,25,0,0,0,0,0,12,17
Michael McLeod,NJ,C,2,0,2,2,2,2,0,0,0,0,0,0,2,1
Zachary Senyshyn,BOS,RW,4,0,2,2,1,0,1,0,0,0,0,0,2,1
Rhett Gardner,DAL,C,8,0,0,0,0,2,8,0,0,0,0,0,8,2
Adam Erne,DET,LW,27,0,0,0,-13,20,32,0,0,0,0,0,73,13
T.J. Tynan,COL,C,14,0,1,1,-1,2,7,0,0,0,0,0,7,3
Brendan Gaunce,BOS,C,1,0,1,1,1,2,0,0,0,0,0,0,2,0
Robert Bortuzzo,STL,D,16,0,1,1,7,8,11,0,0,0,0,0,25,16
Dalton Prout,SJ,D,2,0,0,0,0,7,2,0,0,0,0,0,3,3
Sven Baertschi,VAN,LW,6,0,2,2,-2,4,7,0,0,2,0,0,5,0
Josh Manson,ANH,D,14,0,3,3,-2,15,19,0,0,0,0,0,33,20
Gustav Olofsson,MON,D,3,0,0,0,-4,2,2,0,0,0,0,0,1,6
Carl Dahlstrom,WPG,D,12,0,0,0,-3,4,8,0,0,0,0,0,5,12
Tyler Lewington,WAS,D,6,0,0,0,-2,17,2,0,0,0,0,0,13,7
Austin Poganski,STL,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Stewart,PHI,RW,12,0,1,1,-5,14,4,0,0,0,0,0,26,4
Jonathan Ericsson,DET,D,9,0,0,0,-7,0,8,0,0,0,0,0,13,4
Colin Wilson,COL,LW,9,0,4,4,6,0,12,0,0,0,0,0,8,2
Aaron Ness,ARI,D,15,0,1,1,4,0,8,0,0,0,0,0,11,11
Mark Barberio,COL,D,13,0,2,2,8,12,20,0,0,0,0,0,10,13
Matt Irwin,NSH,D,14,0,1,1,-6,9,18,0,0,0,0,0,21,13
Michael Sgarbossa,WAS,LW,2,0,0,0,0,0,1,0,0,0,0,0,3,0
Matt Tennyson,NJ,D,19,0,3,3,-1,6,12,0,0,0,0,0,27,17
Paul Carey,BOS,RW,1,0,0,0,-1,0,0,0,0,0,0,0,0,1
Radko Gudas,WAS,D,35,0,8,8,13,30,44,0,0,0,0,0,97,45
Jayson Megna,COL,LW,8,0,0,0,-1,2,4,0,0,0,0,0,10,5
Zach Bogosian,BUF,D,10,0,3,3,2,4,9,0,0,0,0,0,11,12
Cory Conacher,TB,LW,4,0,1,1,-2,4,5,0,0,0,0,0,3,1
Kris Russell,EDM,D,35,0,4,4,1,10,27,0,0,0,0,0,48,77
Dylan McIlrath,DET,D,16,0,0,0,-4,23,14,0,0,0,0,0,48,12
Nicolas Petan,TOR,C,16,0,3,3,-4,4,19,0,0,0,0,0,7,4
Christian Folin,MON,D,5,0,1,1,2,2,2,0,0,0,0,0,14,9
Jean-Sebastien Dea,BUF,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0
John Gilmour,BUF,D,4,0,0,0,-2,0,5,0,0,0,0,0,3,3
Charlie McAvoy,BOS,D,34,0,12,12,12,21,41,0,0,1,0,0,75,69
Oliver Kylington,CGY,D,25,0,3,3,-2,10,20,0,0,0,0,0,15,19
Patrick Russell,EDM,RW,27,0,4,4,-2,6,32,0,0,0,0,0,33,17
Noah Dobson,NYI,D,10,0,2,2,4,2,7,0,0,0,0,0,10,6
Jack Studnicka,BOS,C,2,0,1,1,2,2,3,0,0,0,0,0,2,0
Otto Koivula,NYI,C,6,0,0,0,0,2,2,0,0,0,0,0,7,3
Antti Suomela,SJ,C,5,0,1,1,1,0,2,0,0,0,0,0,5,3
Jakob Lilja,CLS,LW,10,0,2,2,-1,0,11,0,0,0,0,0,8,8
Jake Bischoff,VGK,D,4,0,0,0,-2,4,6,0,0,0,0,0,8,8
Lias Andersson,NYR,LW,17,0,1,1,-8,4,13,0,0,0,0,0,20,8
Urho Vaakanainen,BOS,D,5,0,0,0,2,0,2,0,0,0,0,0,8,3
Dennis Gilbert,CHI,D,10,0,1,1,-10,24,7,0,0,0,0,0,44,12
Ashton Sautner,VAN,D,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Carl Grundstrom,LA,LW,9,0,4,4,2,4,14,0,0,0,0,0,20,3
Trevor Daley,DET,D,14,0,0,0,-5,8,13,0,0,0,0,0,3,12
Justin Abdelkader,DET,LW,20,0,3,3,0,4,17,0,0,0,0,0,42,14
Roman Polak,DAL,D,16,0,2,2,2,2,11,0,0,0,0,0,39,47
Alec Martinez,LA,D,24,0,5,5,-1,10,36,0,0,1,0,0,17,56
Mark Letestu,WPG,C,7,0,0,0,0,0,5,0,0,0,0,0,3,5
David Savard,CLS,D,33,0,5,5,0,25,38,0,0,0,0,0,65,67
Slater Koekkoek,CHI,D,14,0,3,3,-4,10,11,0,0,0,0,0,26,15
Mike Reilly,MON,D,11,0,4,4,1,4,18,0,0,0,0,0,11,11
Nathan Beaulieu,WPG,D,14,0,2,2,3,12,9,0,0,0,0,0,22,12
Brett Kulak,MON,D,22,0,2,2,-6,8,33,0,0,0,0,0,24,27
Brandon Davidson,CGY,D,3,0,0,0,-3,0,8,0,0,0,0,0,4,4
Riley Barber,MON,RW,3,0,0,0,0,2,4,0,0,0,0,0,13,0
Charles Hudon,MON,LW,9,0,1,1,-4,0,14,0,0,0,0,0,15,1
Dylan DeMelo,OTT,D,32,0,6,6,7,21,42,0,0,0,0,0,56,43
Nicolas Aube-Kubel,PHI,C,1,0,1,1,0,0,1,0,0,0,0,0,3,1
Matthew Peca,MON,C,4,0,0,0,-1,0,4,0,0,0,0,0,2,1
Zach Trotman,PIT,D,5,0,0,0,1,4,6,0,0,0,0,0,14,7
Anthony Bitetto,WPG,D,23,0,2,2,2,15,31,0,0,0,0,0,66,24
Korbinian Holzer,ANH,D,28,0,1,1,-2,27,25,0,0,0,0,1,61,60
Martin Marincin,TOR,D,7,0,0,0,-1,4,6,0,0,0,0,0,6,8
Tom Kuhnhackl,NYI,RW,6,0,0,0,-1,0,8,0,0,0,0,0,4,5
Andy Greene,NJ,D,28,0,4,4,-1,8,26,0,0,0,0,0,16,67
Dan Hamhuis,NSH,D,30,0,5,5,6,19,20,0,0,0,0,0,42,25
Kevin Gravel,TOR,D,3,0,0,0,0,0,2,0,0,0,0,0,2,3
Joel Hanley,DAL,D,8,0,2,2,0,6,4,0,0,0,0,0,3,8
Trevor van Riemsdyk,CAR,D,19,0,3,3,-5,6,22,0,0,0,0,0,8,12
Aleksi Saarela,FLA,C,3,0,0,0,0,0,3,0,0,0,0,0,0,1
Cameron Hughes,BOS,C,1,0,0,0,-1,0,0,0,0,0,0,0,1,2
Jean-Christophe Beaudin,OTT,C,16,0,1,1,-6,7,12,0,0,0,0,0,32,6
Connor Carrick,NJ,D,4,0,1,1,-3,2,4,0,0,0,0,0,4,6
Steve Santini,NSH,D,2,0,0,0,1,2,1,0,0,0,0,0,3,0
Jordan Szwarz,OTT,RW,3,0,0,0,0,2,2,0,0,0,0,0,6,1
Danny DeKeyser,DET,D,8,0,4,4,0,4,12,0,0,0,0,0,6,18
Danil Yurtaikin,SJ,LW,4,0,0,0,-1,0,2,0,0,0,0,0,3,2
Mathieu Olivier,NSH,RW,8,0,1,1,1,4,6,0,0,0,0,0,17,1
Calle Rosen,COL,D,8,0,2,2,2,4,10,0,0,0,0,0,3,5
Givani Smith,DET,LW,5,0,0,0,0,5,5,0,0,0,0,0,9,0
Julien Gauthier,CAR,RW,5,0,1,1,2,6,1,0,0,0,0,0,4,0
Isac Lundestrom,ANH,LW,3,0,0,0,2,0,3,0,0,0,0,0,1,1
Erik Brannstrom,OTT,D,24,0,2,2,-9,14,26,0,0,1,0,0,9,22
Brennan Menell,MIN,D,4,0,0,0,1,2,3,0,0,0,0,0,2,4
Karson Kuhlman,BOS,C,8,0,0,0,-2,2,13,0,0,0,0,0,9,3